	gene_name	PD_2	PD_4	PD_12	Control_3	Control_7	Control_11
None	LOC102724804	1	1	22	4	11	0
ENSG00000228697	LOC102724814	25	15	23	22	38	21
None	LOC102724849	1	0	0	0	0	1
None	LOC102724874	0	0	1	0	0	0
None	LOC102724890	1	0	0	0	0	2
None	LOC102724913	1	0	1	0	0	0
None	LOC102724919	5	8	0	1	4	2
None	LOC102724927	5	1	3	6	23	7
None	LOC102724933	0	0	0	0	0	0
ENSG00000261184	LOC102724957	0	1	12	0	0	0
ENSG00000250954	LOC102724958	1	0	0	0	0	0
ENSG00000293331	LOC102725079	0	0	0	1	0	1
None	LOC102800447	2	5	0	0	3	0
ENSG00000248529	LOC103021295	15	9	13	8	7	6
None	LOC103021296	2	0	0	0	3	0
None	LOC103091866	0	0	13	3	0	1
None	LOC103171574	0	0	0	0	0	0
None	LOC103191607	0	2	0	0	0	8
ENSG00000261697	LOC103312105	0	0	0	0	0	0
None	LOC103344931	137	343	327	299	358	221
None	LOC103352541	0	0	0	0	0	0
None	LOC103611081	209	303	334	501	325	269
None	LOC103908605	0	0	1	1	0	0
ENSG00000261095	LOC104054148	2	0	0	0	0	0
None	LOC104613533	2	0	0	0	0	0
ENSG00000284830	LOC104968399	284	912	1171	906	1390	84
None	LOC105274304	126	106	50	45	111	38
None	LOC105370306	1	0	0	0	0	0
None	LOC105372441	0	0	6	0	9	0
None	LOC105372795	6	18	14	13	12	0
None	LOC105373300	7	11	0	0	3	0
ENSG00000236461	LOC105373383	37	80	125	71	61	44
None	LOC105373609	4	1	1	0	1	3
None	LOC105375734	0	0	2	0	0	0
None	LOC105376360	1	0	0	0	0	0
None	LOC105376671	9	2	14	3	0	1
None	LOC105377348	9	64	62	49	79	3
None	LOC105378732	8	29	8	13	19	29
ENSG00000224865	LOC105447645	9	12	1	3	10	5
None	LOC105447648	0	0	0	0	0	0
None	LOC105616981	9	6	3	22	35	17
None	LOC105667213	0	0	0	1	3	0
None	LOC105747689	1	0	0	0	0	0
ENSG00000274248	LOC105748977	0	0	3	0	0	0
ENSG00000233569	LOC105755953	0	2	0	0	0	2
None	LOC106099130	0	0	0	0	0	0
None	LOC113230	202	259	537	429	599	96
None	LOC115110	3	0	10	0	0	3
None	LOC143666	45	91	162	103	139	70
ENSG00000233968	LOC145474	18	58	29	50	35	25
None	LOC145783	6	75	51	41	14	1
None	LOC145845	3	1	0	0	0	1
ENSG00000267709	LOC146513	2	0	3	0	0	0
ENSG00000247416	LOC146880	36	98	122	113	66	36
None	LOC148413	314	604	749	854	812	231
ENSG00000262833	LOC148696	8	9	3	0	4	5
None	LOC148709	4	3	0	1	3	4
None	LOC149373	1	0	0	0	0	0
None	LOC149684	2	0	2	6	5	3
None	LOC149950	0	0	0	8	9	0
ENSG00000285336	LOC150776	62	50	50	37	33	99
None	LOC150935	0	1	0	0	0	0
None	LOC151121	1	2	0	0	5	0
None	LOC151174	60	74	153	100	154	192
ENSG00000255314	LOC151475	0	0	0	0	0	3
ENSG00000255084	LOC151484	3	20	1	14	18	0
None	LOC152225	3	0	3	0	0	0
None	LOC152578	4	1	1	6	2	1
None	LOC153684	2	0	0	5	1	0
ENSG00000258039	LOC153910	10	0	6	0	3	0
ENSG00000256195	LOC154449	2	2	1	0	0	0
None	LOC154761	0	0	0	0	0	0
None	LOC155060	60	157	115	76	61	75
None	LOC157273	7	6	0	0	0	6
None	LOC158434	2	2	55	5	4	1
None	LOC158435	10	3	2	0	1	7
None	LOC171391	57	41	68	39	59	19
None	LOC1720	0	0	0	0	0	0
None	LOC200726	24	22	110	38	80	10
ENSG00000259351	LOC200772	2	0	0	0	0	0
None	LOC202181	6	7	3	12	21	3
None	LOC220729	29	41	148	84	108	10
ENSG00000229261	LOC221122	0	0	0	0	0	0
None	LOC221946	2	0	0	3	7	0
None	LOC253573	3	0	1	1	2	1
None	LOC254028	2	0	4	0	0	0
None	LOC254896	3	0	0	0	0	0
None	LOC255187	0	0	0	0	0	0
None	LOC255654	0	0	0	0	0	12
None	LOC256880	0	0	2	0	0	0
None	LOC257396	31	53	54	67	68	21
None	LOC283038	62	74	108	129	160	27
None	LOC283045	7	19	24	2	37	16
None	LOC283140	19	31	33	21	28	11
None	LOC283177	1	1	8	6	9	2
None	LOC283194	3	4	1	0	0	2
None	LOC283214	1	0	0	0	1	0
None	LOC283299	1	2	0	0	0	1
ENSG00000198491	LOC283332	1	0	0	1	0	0
ENSG00000288537	LOC283335	54	13	10	19	7	35
None	LOC283352	0	0	0	0	0	0
None	LOC283440	2	1	0	0	0	1
ENSG00000260599	LOC283575	8	7	1	0	16	0
None	LOC283585	0	5	0	0	0	1
None	LOC283683	407	806	1058	1038	886	669
None	LOC283710	2	0	0	0	0	0
None	LOC283731	0	0	0	0	0	0
