	gene_name	PD_2	PD_4	PD_12	Control_3	Control_7	Control_11
ENSG00000162688	AGTR1	18	21	838	3059	4173	2
ENSG00000116771	AGTR2	0	2	3	0	0	0
ENSG00000187546	AGTRAP	74	105	33	73	37	75
ENSG00000092847	AGXT	1	2	2	0	0	0
ENSG00000123908	AGXT2	4	0	0	1	2	2
ENSG00000126070	AHCTF1	171	198	209	208	191	99
ENSG00000134698	AHCTF1P1	7	27	13	2	18	7
ENSG00000204310	AHCY	319	729	830	919	1151	455
ENSG00000169692	AHCYL1	2480	2848	3093	2535	2735	2870
ENSG00000160216	AHCYL2	630	1051	1147	1809	2183	547
ENSG00000026652	AHDC1	96	225	157	233	136	146
None	AHI1	1394	4135	4457	3494	4408	1756
ENSG00000155189	AHNAK	130	133	293	51	35	109
ENSG00000018510	AHNAK2	511	1177	2366	2400	1882	854
ENSG00000106541	AHR	101	95	178	177	172	191
ENSG00000173467	AHRR	9	8	19	9	2	13
ENSG00000188157	AHSA1	1158	2989	2546	2312	2896	653
ENSG00000159723	AHSA2	244	307	364	333	237	175
ENSG00000135744	AHSG	0	1	0	0	2	2
ENSG00000135049	AHSP	3	0	0	10	0	0
ENSG00000144891	AICDA	2	0	0	0	0	9
ENSG00000180772	AIDA	107	146	113	129	112	86
ENSG00000177674	AIF1	106	57	169	5	259	15
ENSG00000172482	AIF1L	69	105	139	28	58	35
ENSG00000113492	AIFM1	187	541	768	431	626	214
ENSG00000153207	AIFM2	56	146	455	249	238	118
ENSG00000226121	AIFM3	132	131	187	76	78	70
ENSG00000101444	AIG1	687	1379	1432	1328	1389	671
ENSG00000168710	AIM1	12	1	8	14	12	1
ENSG00000158467	AIM1L	12	0	0	0	0	0
ENSG00000126705	AIM2	17	0	0	1	2	1
ENSG00000135541	AIMP1	560	1304	1336	1559	1663	760
ENSG00000124942	AIMP2	203	663	633	513	955	158
ENSG00000185567	AIP	463	1061	1641	1271	1461	394
ENSG00000106546	AIPL1	2	8	0	2	9	18
ENSG00000063438	AIRE	7	2	5	1	1	0
ENSG00000100591	AIRN	3	4	1	0	1	0
None	AJAP1	405	801	1153	638	834	363
ENSG00000145192	AJUBA	3	1	0	9	0	18
ENSG00000169877	AK1	1082	2362	3312	2217	2683	497
ENSG00000111732	AK2	205	370	489	460	564	172
ENSG00000186063	AK3	742	1128	1814	1025	1041	793
ENSG00000204472	AK4	637	1145	1652	1389	1529	784
ENSG00000126878	AK5	929	1684	1955	3042	3513	1139
ENSG00000156709	AK6	320	623	1174	941	1219	90
ENSG00000042286	AK7	3	6	24	14	10	0
ENSG00000183773	AK8	49	54	47	79	67	8
ENSG00000146416	AK9	151	251	368	250	428	155
None	AKAP1	278	339	477	610	615	306
None	AKAP10	364	602	574	618	916	407
ENSG00000163568	AKAP11	2043	3115	4374	3549	4664	2290
ENSG00000164022	AKAP12	3029	6669	6689	7318	10261	4943
ENSG00000106305	AKAP13	498	922	1145	919	975	669
ENSG00000110711	AKAP14	22	65	83	118	87	38
ENSG00000129221	AKAP17A	165	257	180	93	127	101
ENSG00000160224	AKAP2	0	0	0	3	1	0
ENSG00000268257	AKAP3	4	0	12	9	7	4
ENSG00000196581	AKAP4	3	1	0	0	0	0
ENSG00000129474	AKAP5	54	46	117	79	97	17
ENSG00000106992	AKAP6	1674	3019	2925	4355	4733	1570
ENSG00000004455	AKAP7	198	376	714	592	839	176
ENSG00000147853	AKAP8	102	252	350	201	250	180
ENSG00000162433	AKAP8L	129	375	310	477	438	122
ENSG00000154027	AKAP9	1197	3033	3591	3002	3246	1673
ENSG00000085231	AKIP1	213	337	338	323	363	196
ENSG00000140057	AKIRIN1	714	959	1207	1112	1231	615
ENSG00000165695	AKIRIN2	557	1158	1206	999	1029	531
ENSG00000155085	AKNA	48	44	72	59	22	36
ENSG00000121057	AKNAD1	12	10	11	11	12	13
ENSG00000108599	AKR1A1	312	428	894	563	828	132
ENSG00000023516	AKR1B1	1349	3291	3824	3311	4308	910
ENSG00000131016	AKR1B10	1	0	0	5	8	0
ENSG00000170776	AKR1B15	0	2	0	0	0	0
ENSG00000186471	AKR1C1	90	416	291	178	163	38
ENSG00000197976	AKR1C2	96	455	344	145	236	90
ENSG00000292343	AKR1C3	31	11	63	2	0	3
None	AKR1C4	0	1	0	0	1	9
ENSG00000111254	AKR1C6P	0	4	1	0	0	0
ENSG00000147081	AKR1C8P	5	3	1	0	2	0
ENSG00000179841	AKR1D1	5	0	0	0	2	0
ENSG00000151320	AKR1E2	9	12	3	15	16	10
ENSG00000118507	AKR7A2	307	555	609	568	819	223
ENSG00000105127	AKR7A2P1	2	3	9	6	11	1
ENSG00000011243	AKR7A3	21	6	3	20	9	0
ENSG00000127914	AKR7L	5	1	0	11	14	14
ENSG00000166452	AKT1	216	337	372	327	424	466
ENSG00000174574	AKT1S1	170	207	331	263	356	216
ENSG00000135334	AKT2	97	70	50	55	26	43
ENSG00000106948	AKT3	686	1597	2196	2245	2405	1148
ENSG00000162641	AKTIP	446	849	1085	1188	1275	432
ENSG00000117448	ALAD	319	484	587	564	626	224
ENSG00000085662	ALAS1	203	338	400	536	821	208
ENSG00000198074	ALAS2	3	0	1	0	0	5
ENSG00000227471	ALB	26	8	22	31	4	14
ENSG00000187134	ALCAM	741	1048	6431	4215	6485	774
ENSG00000151632	ALDH16A1	29	56	72	41	43	20
ENSG00000196139	ALDH18A1	198	302	569	565	676	361
ENSG00000198610	ALDH1A1	5072	14771	70741	116654	170600	8329
ENSG00000151631	ALDH1A2	14	1	2	15	1	3
None	ALDH1A3	63	86	154	87	39	17
ENSG00000122787	ALDH1B1	113	190	266	155	163	61
ENSG00000165568	ALDH1L1	122	55	62	55	51	114
ENSG00000053371	ALDH1L1-AS1	32	11	7	5	9	21
ENSG00000229020	ALDH1L1-AS2	10	3	90	12	4	1
ENSG00000162482	ALDH1L2	64	99	31	99	111	15
ENSG00000211454	ALDH2	2138	3665	4327	4150	5645	1859
ENSG00000142208	ALDH3A1	4	1	2	5	5	10
ENSG00000204673	ALDH3A2	614	1491	1396	1374	2004	498
ENSG00000105221	ALDH3B1	14	1	29	0	8	0
ENSG00000117020	ALDH3B2	2	0	0	0	0	1
ENSG00000166971	ALDH4A1	130	103	113	173	199	41
ENSG00000148218	ALDH5A1	483	858	1329	640	1025	347
ENSG00000023330	ALDH6A1	686	770	847	747	860	586
ENSG00000158578	ALDH7A1	349	308	330	226	297	266
ENSG00000163631	ALDH8A1	27	32	61	85	73	22
ENSG00000170017	ALDH9A1	439	800	739	592	700	459
ENSG00000161618	ALDOA	12793	25631	33868	29511	39180	6919
ENSG00000059573	ALDOB	5	10	45	19	41	6
ENSG00000165092	ALDOC	5019	8049	12038	8328	11385	3260
ENSG00000128918	ALG1	106	166	223	149	223	62
ENSG00000184254	ALG10	17	14	9	15	36	12
ENSG00000137124	ALG10B	66	75	74	139	85	70
ENSG00000144908	ALG11	17	41	70	60	83	30
ENSG00000250218	ALG12	33	57	48	54	74	17
ENSG00000246022	ALG13	187	374	415	276	310	158
ENSG00000136010	ALG14	216	338	736	627	785	170
ENSG00000111275	ALG1L	8	50	54	41	32	8
ENSG00000108602	ALG1L2	0	0	0	0	0	0
ENSG00000072210	ALG1L9P	2	4	0	7	1	5
ENSG00000006534	ALG2	374	424	450	483	769	130
ENSG00000132746	ALG3	73	231	348	343	264	76
ENSG00000159423	ALG5	212	384	841	495	701	102
ENSG00000112294	ALG6	95	75	117	184	182	45
ENSG00000119711	ALG8	253	535	297	384	560	140
ENSG00000164904	ALG9	158	463	461	391	498	314
ENSG00000118514	ALK	47	37	94	17	10	2
ENSG00000143149	ALKBH1	77	115	75	60	104	24
ENSG00000149925	ALKBH2	64	103	230	175	215	81
ENSG00000136872	ALKBH3	103	222	287	394	516	183
ENSG00000109107	ALKBH3-AS1	3	8	1	6	0	0
ENSG00000033011	ALKBH4	75	180	204	166	286	107
ENSG00000139133	ALKBH5	865	1135	1235	1233	1284	886
ENSG00000175548	ALKBH6	409	1634	699	1565	3103	378
ENSG00000253710	ALKBH7	473	1440	1565	1485	1879	213
ENSG00000182858	ALKBH8	81	116	210	118	180	86
ENSG00000101901	ALLC	1	5	0	0	4	2
ENSG00000172339	ALMS1	104	122	206	133	127	124
None	ALMS1-IT1	13	9	0	0	1	3
ENSG00000251287	ALMS1P	0	1	3	0	14	0
ENSG00000254978	ALOX12	9	13	15	12	18	6
ENSG00000293546	ALOX12-AS1	18	40	70	81	56	7
ENSG00000119523	ALOX12B	57	7	11	48	90	60
ENSG00000214160	ALOX12P2	9	26	13	1	20	11
ENSG00000120697	ALOX15	0	2	2	0	0	0
ENSG00000088035	ALOX15B	6	8	2	0	1	0
ENSG00000159063	ALOX15P1	1	11	13	11	9	4
ENSG00000086848	ALOX5	7	0	6	3	5	3
ENSG00000171094	ALOX5AP	89	55	136	3	36	0
ENSG00000100601	ALOXE3	3	10	0	9	11	6
ENSG00000189046	ALPI	8	3	2	0	0	4
ENSG00000166199	ALPK1	14	8	4	1	11	7
ENSG00000244926	ALPK2	13	0	5	1	0	7
ENSG00000160993	ALPK3	87	195	210	194	163	175
ENSG00000091542	ALPL	3	0	1	9	0	1
ENSG00000239382	ALPP	3	3	1	0	0	1
ENSG00000125652	ALPPL2	0	0	0	0	0	0
ENSG00000137760	ALS2	226	392	319	627	565	307
ENSG00000151360	ALS2CL	23	4	6	25	11	9
ENSG00000116127	ALS2CR11	21	17	11	13	33	12
ENSG00000230002	ALS2CR12	5	6	36	26	4	1
None	ALX1	3	0	2	1	0	0
ENSG00000108839	ALX3	0	0	0	0	0	0
ENSG00000267532	ALX4	6	0	1	3	2	0
ENSG00000179477	ALYREF	20	110	117	41	76	41
ENSG00000262943	AMACR	0	0	8	5	6	0
ENSG00000291084	AMBN	0	0	18	0	2	3
ENSG00000161905	AMBP	1	0	0	0	0	2
ENSG00000179593	AMBRA1	68	161	227	257	178	137
ENSG00000274114	AMD1	721	1299	1603	1404	1397	606
ENSG00000012779	AMDHD1	25	21	30	26	44	35
ENSG00000132965	AMDHD2	57	84	158	118	122	49
ENSG00000179148	AMELX	0	0	3	0	1	0
ENSG00000163295	AMELY	0	0	2	0	0	0
ENSG00000073331	AMER1	51	28	44	39	41	13
ENSG00000198796	AMER2	462	586	490	381	484	345
ENSG00000136383	AMER3	129	190	138	309	196	279
ENSG00000162551	AMFR	398	515	583	518	721	377
ENSG00000163283	AMH	3	3	2	0	1	1
None	AMHR2	1	1	0	7	2	0
ENSG00000003393	AMICA1	9	0	1	0	0	0
ENSG00000178038	AMIGO1	90	196	184	279	207	138
None	AMIGO2	839	997	457	698	732	907
None	AMIGO3	25	11	6	24	31	9
ENSG00000180318	AMMECR1	101	202	226	277	274	90
ENSG00000156150	AMMECR1L	145	194	200	255	122	118
ENSG00000052850	AMN	0	1	0	0	0	0
ENSG00000183684	AMN1	842	1582	1640	1427	1964	621
ENSG00000242110	AMOT	144	128	219	113	106	98
ENSG00000178522	AMOTL1	122	131	70	60	30	109
ENSG00000106927	AMOTL2	261	429	492	286	335	374
ENSG00000110497	AMPD1	3	2	0	1	0	1
ENSG00000123505	AMPD2	616	1353	1701	1992	1411	1120
ENSG00000139344	AMPD3	377	724	622	733	1073	403
ENSG00000162066	AMPH	2665	3594	2967	4438	4908	2327
ENSG00000125363	AMT	20	7	10	7	12	24
ENSG00000099721	AMTN	0	2	1	0	0	0
ENSG00000184675	AMY1A	0	0	0	0	0	0
ENSG00000165566	AMY1B	0	0	0	0	0	0
ENSG00000178171	AMY1C	0	0	0	0	0	0
ENSG00000159461	AMY2A	0	5	7	3	0	0
ENSG00000104899	AMY2B	222	292	408	384	341	239
ENSG00000135409	AMZ1	12	23	198	41	63	13
None	AMZ2	595	846	1152	1119	1429	422
ENSG00000181754	AMZ2P1	229	313	645	505	715	162
ENSG00000139211	ANAPC1	52	125	183	147	112	64
ENSG00000176020	ANAPC10	436	618	929	846	957	325
ENSG00000101935	ANAPC11	1361	2568	4372	3128	3873	817
ENSG00000144233	ANAPC13	1690	3558	4519	2645	4995	783
ENSG00000166126	ANAPC15	348	747	1044	985	1380	241
ENSG00000151743	ANAPC16	690	1011	1071	900	1285	260
ENSG00000126016	ANAPC1P1	2	0	0	1	6	0
ENSG00000166025	ANAPC2	24	16	12	41	25	40
ENSG00000114019	ANAPC4	242	336	378	434	477	190
ENSG00000116748	ANAPC5	572	911	963	1098	1243	352
ENSG00000116337	ANAPC7	428	983	975	890	1157	340
ENSG00000133805	ANG	15	20	0	2	0	8
ENSG00000078053	ANGEL1	185	285	234	237	220	276
ENSG00000145020	ANGEL2	187	195	407	275	302	107
ENSG00000187689	ANGPT1	4	19	3	6	0	14
ENSG00000237763	ANGPT2	80	7	14	19	83	25
ENSG00000174876	ANGPT4	0	0	0	7	0	0
ENSG00000237763	ANGPTL1	1	18	29	5	17	2
ENSG00000187733	ANGPTL2	21	8	96	66	21	1
ENSG00000243480	ANGPTL3	5	4	6	1	5	13
ENSG00000240038	ANGPTL4	21	72	19	40	72	52
ENSG00000174945	ANGPTL5	1	19	0	11	9	2
ENSG00000196704	ANGPTL6	56	147	139	98	238	47
ENSG00000214174	ANGPTL7	3	2	0	4	4	12
ENSG00000291140	ANHX	0	0	1	0	0	0
ENSG00000153107	ANK1	814	2021	1896	2036	2713	1684
ENSG00000164162	ANK2	5791	14741	16262	16438	20056	9007
ENSG00000141552	ANK3	2056	4539	4216	4049	5005	2418
ENSG00000129055	ANKAR	59	15	51	39	19	30
ENSG00000110200	ANKDD1A	152	306	185	219	133	169
ENSG00000166295	ANKDD1B	14	16	47	4	12	4
ENSG00000233673	ANKEF1	48	94	98	65	158	32
ENSG00000176248	ANKFN1	7	3	11	1	0	4
ENSG00000053900	ANKFY1	345	477	600	676	545	407
ENSG00000089053	ANKH	1360	2112	3101	3324	3391	1505
ENSG00000196510	ANKHD1	201	197	267	314	313	116
ENSG00000214274	ANKHD1-EIF4EBP3	1	0	0	2	8	3
ENSG00000013523	ANKIB1	891	1308	1078	1667	1557	959
ENSG00000174606	ANKK1	5	22	21	2	10	1
ENSG00000154188	ANKLE1	8	17	0	5	1	17
ENSG00000091879	ANKLE2	246	370	676	511	421	183
ENSG00000101280	ANKMY1	47	133	119	117	155	22
ENSG00000116194	ANKMY2	281	683	1023	695	924	268
ENSG00000136859	ANKRA2	264	556	496	536	715	366
ENSG00000132855	ANKRD1	1	0	35	1	4	5
ENSG00000167772	ANKRD10	422	440	797	588	575	361
ENSG00000187151	ANKRD11	473	940	1200	911	1180	1030
ENSG00000130812	ANKRD12	1180	2760	4055	2615	4284	2698
ENSG00000171819	ANKRD13A	115	210	152	243	293	197
ENSG00000227059	ANKRD13B	90	71	70	104	57	70
ENSG00000029534	ANKRD13C	267	590	484	800	999	324
ENSG00000145362	ANKRD13D	189	255	444	307	287	190
ENSG00000151150	ANKRD16	58	61	65	70	74	102
ENSG00000151687	ANKRD17	1132	2160	2816	2532	2479	1090
ENSG00000166839	ANKRD18A	25	38	98	48	38	41
ENSG00000189045	ANKRD18B	1	3	12	0	1	2
ENSG00000132623	ANKRD18DP	23	19	60	31	35	9
ENSG00000153930	ANKRD19P	126	260	255	169	329	287
ENSG00000185722	ANKRD2	3	148	147	62	144	6
ENSG00000154122	ANKRD20A1	0	0	0	0	0	0
ENSG00000131503	ANKRD20A11P	4	2	0	2	0	14
ENSG00000254996	ANKRD20A12P	0	0	0	0	0	0
ENSG00000001629	ANKRD20A19P	5	2	7	5	0	2
ENSG00000170209	ANKRD20A2	0	0	0	0	0	0
ENSG00000160117	ANKRD20A3	0	0	0	0	0	0
ENSG00000176915	ANKRD20A4	3	4	10	1	1	10
ENSG00000144504	ANKRD20A5P	9	24	30	1	2	1
ENSG00000106524	ANKRD20A8P	8	24	8	5	11	2
ENSG00000164331	ANKRD20A9P	15	12	11	8	2	5
ENSG00000148677	ANKRD22	9	4	0	9	1	2
ENSG00000088448	ANKRD23	23	6	21	8	15	43
ENSG00000167522	ANKRD24	64	70	119	93	64	61
ENSG00000101745	ANKRD26	125	403	804	405	559	289
ENSG00000076513	ANKRD26P1	12	0	1	0	10	2
ENSG00000198720	ANKRD26P3	3	5	2	5	1	0
ENSG00000118454	ANKRD27	383	577	595	815	632	482
ENSG00000172932	ANKRD28	222	254	301	374	474	535
ENSG00000134461	ANKRD29	1255	2268	1208	1610	2023	1107
ENSG00000132466	ANKRD30A	3	0	0	0	1	5
ENSG00000180071	ANKRD30B	15	26	41	17	47	54
ENSG00000230453	ANKRD30BL	30	37	54	27	81	15
ENSG00000226435	ANKRD30BP2	2	1	2	0	0	3
ENSG00000232832	ANKRD30BP3	3	2	0	0	0	8
ENSG00000187984	ANKRD31	23	19	0	7	13	1
ENSG00000291168	ANKRD33	2	0	0	0	0	0
ENSG00000165887	ANKRD33B	19	4	6	8	7	15
ENSG00000260691	ANKRD34A	181	508	586	748	1002	198
ENSG00000215559	ANKRD34B	32	179	122	66	44	26
None	ANKRD34C	251	313	384	1055	847	777
ENSG00000196593	ANKRD34C-AS1	4	4	7	8	22	0
None	ANKRD35	122	288	202	309	304	114
None	ANKRD36	33	95	124	84	79	59
None	ANKRD36B	21	30	40	32	96	48
ENSG00000186481	ANKRD36BP1	2	3	2	19	1	1
ENSG00000293697	ANKRD36BP2	28	80	153	71	94	70
ENSG00000229089	ANKRD36C	51	122	198	153	144	97
ENSG00000206192	ANKRD37	120	439	430	398	240	104
ENSG00000152766	ANKRD39	559	1200	1463	1532	1585	285
ENSG00000163126	ANKRD40	682	660	714	1218	1035	975
ENSG00000089847	ANKRD42	411	647	520	414	595	340
ENSG00000107890	ANKRD44	299	480	571	517	532	377
ENSG00000261239	ANKRD44-IT1	14	9	3	14	7	4
ENSG00000237636	ANKRD45	2	21	9	8	20	11
ENSG00000293699	ANKRD46	1357	2475	3034	2840	3222	1512
ENSG00000105186	ANKRD49	68	108	157	145	135	136
ENSG00000206560	ANKRD50	726	980	1262	2210	1838	692
ENSG00000154065	ANKRD52	483	630	651	909	832	641
ENSG00000148513	ANKRD53	1	0	0	0	0	1
ENSG00000180777	ANKRD54	154	211	231	260	287	341
ENSG00000163046	ANKRD55	1	119	63	70	94	29
ENSG00000224309	ANKRD6	249	374	682	512	658	176
ENSG00000230501	ANKRD60	3	5	0	1	5	0
ENSG00000145700	ANKRD61	0	0	0	0	11	1
ENSG00000167612	ANKRD62	6	8	1	1	7	5
ENSG00000164236	ANKRD62P1-PARP4P3	29	24	26	23	33	13
ENSG00000272031	ANKRD63	0	1	3	2	0	0
ENSG00000189127	ANKRD65	60	8	161	47	14	40
ENSG00000235711	ANKRD66	1	0	1	0	0	0
ENSG00000259234	ANKRD7	3	13	70	26	21	24
ENSG00000198483	ANKRD9	72	163	102	90	316	121
ENSG00000135976	ANKS1A	87	227	162	181	204	237
ENSG00000196912	ANKS1B	1882	3145	3026	2788	2890	2112
ENSG00000214262	ANKS3	82	53	76	216	109	96
ENSG00000293109	ANKS4B	3	2	1	0	0	0
ENSG00000230006	ANKS6	195	191	189	131	101	189
ENSG00000291127	ANKUB1	2	0	1	0	0	7
ENSG00000174501	ANKZF1	74	128	146	124	163	42
ENSG00000186352	ANLN	448	333	267	509	540	341
ENSG00000213337	ANO1	24	0	5	35	36	41
ENSG00000154945	ANO1-AS2	1	0	0	0	0	0
ENSG00000137494	ANO10	290	793	941	928	901	470
ENSG00000065413	ANO2	6	6	0	4	0	0
ENSG00000236977	ANO3	20	14	26	3	10	0
ENSG00000183831	ANO4	164	594	364	497	468	207
ENSG00000285777	ANO5	331	561	736	994	1116	296
ENSG00000186106	ANO6	115	134	296	148	151	172
ENSG00000168876	ANO7	8	9	22	11	9	5
ENSG00000151458	ANO8	98	90	153	119	132	249
ENSG00000139645	ANO9	2	1	0	0	2	0
ENSG00000144031	ANOS1	98	70	236	143	77	43
ENSG00000100124	ANP32A	144	262	294	214	118	104
ENSG00000164512	ANP32A-IT1	7	18	0	0	0	0
ENSG00000135299	ANP32AP1	2	5	3	3	4	0
ENSG00000124227	ANP32B	210	376	438	314	398	294
ENSG00000157999	ANP32C	0	0	2	1	1	4
ENSG00000181626	ANP32D	0	0	0	2	0	0
ENSG00000189295	ANP32E	1103	1535	1855	1817	2338	1512
ENSG00000230778	ANPEP	4	6	2	0	0	2
ENSG00000235098	ANTXR1	41	46	240	99	62	61
ENSG00000230062	ANTXR2	90	88	88	14	24	10
ENSG00000106013	ANTXRL	1	2	0	0	0	3
ENSG00000156381	ANTXRLP1	0	0	0	0	0	1
ENSG00000064999	ANXA1	126	6	329	1126	188	5
ENSG00000185046	ANXA10	14	13	1	2	0	0
ENSG00000168096	ANXA11	57	59	30	33	20	55
ENSG00000175311	ANXA13	1	2	0	0	0	0
ENSG00000165138	ANXA2	789	1215	1911	419	633	136
ENSG00000206199	ANXA2P1	3	6	15	3	4	1
ENSG00000163516	ANXA2P2	99	310	406	72	123	0
ENSG00000011426	ANXA2P3	11	12	12	1	10	0
ENSG00000131620	ANXA2R	0	6	0	0	0	2
None	ANXA3	131	96	372	483	413	64
ENSG00000160746	ANXA4	28	25	107	60	39	15
ENSG00000047617	ANXA5	644	401	989	686	846	186
ENSG00000134343	ANXA6	1308	2797	4130	2739	3679	1672
ENSG00000151572	ANXA7	1471	2777	2581	2607	3542	1542
ENSG00000171714	ANXA8	0	0	0	0	0	0
ENSG00000177119	ANXA8L1	0	1	0	0	0	0
ENSG00000146205	ANXA9	7	5	13	7	1	2
ENSG00000074855	AOAH	6	5	0	10	9	5
ENSG00000185101	AOAH-IT1	0	0	0	1	1	0
ENSG00000011201	AOC1	0	1	0	0	0	2
ENSG00000140350	AOC2	36	9	11	23	9	20
None	AOC3	15	1	0	0	0	2
ENSG00000259516	AOC4P	2	1	0	0	0	1
ENSG00000136938	AOX1	6	3	19	1	1	6
None	AOX2P	5	1	4	0	5	0
ENSG00000139223	AP1AR	417	800	988	962	1050	531
ENSG00000143401	AP1B1	629	994	1147	1223	1262	1069
ENSG00000166825	AP1B1P1	0	0	0	2	0	0
ENSG00000169604	AP1G1	416	785	1151	1018	1292	417
ENSG00000163297	AP1G2	127	106	111	62	135	122
ENSG00000274209	AP1M1	1029	2135	2105	2601	2694	1796
ENSG00000263482	AP1M2	43	26	51	90	13	0
ENSG00000135046	AP1S1	117	303	357	369	348	115
ENSG00000109511	AP1S2	459	639	1183	465	567	128
ENSG00000122359	AP1S3	25	25	24	55	44	3
ENSG00000104537	AP2A1	578	1253	1332	1702	1595	676
ENSG00000182718	AP2A2	884	1550	1509	2127	2159	1444
ENSG00000213406	AP2B1	1276	2679	3467	2894	3610	1682
ENSG00000231991	AP2M1	4696	10892	11610	14096	15791	6076
ENSG00000216740	AP2S1	1184	2495	3225	2890	3750	988
ENSG00000177721	AP3B1	118	428	491	351	490	192
ENSG00000138772	AP3B2	570	1246	1458	1498	1678	705
ENSG00000196975	AP3D1	1090	1898	2076	2605	2547	1522
ENSG00000164111	AP3M1	545	563	815	966	1173	379
ENSG00000197043	AP3M2	932	2321	2335	2540	2982	1064
ENSG00000138279	AP3S1	694	1264	1797	2016	2282	668
ENSG00000265190	AP3S2	5	0	6	2	5	1
ENSG00000276850	AP4B1	202	365	339	431	496	225
ENSG00000264230	AP4B1-AS1	23	63	22	48	52	8
ENSG00000143412	AP4E1	109	154	104	146	139	90
ENSG00000136250	AP4M1	45	143	92	98	146	38
ENSG00000230539	AP4S1	97	220	218	195	252	100
ENSG00000002726	AP5B1	27	114	52	105	67	41
ENSG00000131480	AP5M1	661	1195	1601	1295	1831	788
ENSG00000131471	AP5S1	109	141	121	138	174	231
ENSG00000260105	AP5Z1	67	301	283	280	303	244
ENSG00000291070	APAF1	123	150	227	178	147	82
ENSG00000138356	APBA1	854	1503	1571	1961	2033	1197
ENSG00000243478	APBA2	398	601	801	732	923	573
ENSG00000138660	APBA3	32	33	25	33	26	20
ENSG00000100280	APBB1	1838	3985	4606	4406	4427	3162
ENSG00000234479	APBB1IP	13	1	15	1	13	0
ENSG00000290475	APBB2	434	910	806	1137	1284	797
ENSG00000166747	APBB3	288	579	643	691	814	329
ENSG00000213983	APC	1505	2461	3189	2572	3477	1628
ENSG00000072958	APC2	422	615	632	726	504	769
ENSG00000129354	APCDD1	47	37	31	31	38	34
ENSG00000106367	APCDD1L	0	4	1	0	0	2
ENSG00000182287	APCDD1L-AS1	6	0	0	0	3	4
ENSG00000152056	APCS	1	0	0	0	0	0
ENSG00000196961	APEH	618	1479	1326	1443	1427	419
ENSG00000183020	APELA	2	3	1	0	0	3
ENSG00000006125	APEX1	630	1671	1458	1534	2492	308
ENSG00000161203	APEX2	46	126	118	141	153	36
ENSG00000042753	APH1A	61	62	121	74	52	45
ENSG00000132842	APH1B	346	454	613	405	414	120
ENSG00000103723	API5	454	956	983	711	1058	570
ENSG00000065000	APIP	87	183	420	175	282	88
ENSG00000185009	APITD1	22	31	37	56	67	35
ENSG00000070718	APITD1-CORT	0	0	0	0	0	0
ENSG00000177879	APLF	7	39	28	13	14	53
ENSG00000157823	APLN	15	19	72	39	6	17
ENSG00000134262	APLNR	92	29	71	26	32	167
ENSG00000226167	APLP1	1765	2973	3839	3212	3439	1514
ENSG00000081014	APLP2	4085	10730	11980	8604	12829	5331
ENSG00000221838	APMAP	1575	3031	4886	2980	4095	1316
ENSG00000100478	APOA1	5	17	18	10	19	18
ENSG00000254470	APOA1-AS	3	3	5	0	0	5
ENSG00000053770	APOA1BP	750	2004	2170	2132	2811	339
ENSG00000125843	APOA2	10	10	42	17	21	16
ENSG00000242802	APOA4	0	0	0	0	0	0
ENSG00000120868	APOA5	3	1	0	0	0	2
ENSG00000107282	APOB	57	54	54	30	18	19
ENSG00000034053	APOBEC1	2	0	0	0	0	0
ENSG00000011132	APOBEC2	7	19	7	16	11	5
ENSG00000166313	APOBEC3A	1	0	0	0	0	0
ENSG00000077420	APOBEC3A_B	0	0	0	0	0	0
ENSG00000163697	APOBEC3B	3	1	0	0	0	0
ENSG00000113108	APOBEC3B-AS1	0	0	0	0	0	0
ENSG00000134982	APOBEC3C	7	1	21	0	1	0
ENSG00000115266	APOBEC3D	2	0	0	0	0	0
ENSG00000154856	APOBEC3F	12	13	0	7	3	0
ENSG00000198768	APOBEC3G	4	5	2	0	0	2
None	APOBEC3H	3	0	0	2	0	0
ENSG00000132703	APOBEC4	8	1	20	1	0	0
ENSG00000164062	APOBR	14	0	11	0	6	1
ENSG00000248329	APOC1	956	899	1211	623	1083	588
ENSG00000100823	APOC1P1	14	4	6	7	13	13
ENSG00000169188	APOC2	0	0	0	0	0	0
ENSG00000117362	APOC3	2	0	0	0	0	0
ENSG00000138613	APOC4	0	0	0	0	0	0
ENSG00000166181	APOC4-APOC2	0	0	0	0	0	0
ENSG00000149089	APOD	2760	2305	2147	2139	2019	391
None	APOE	5179	3795	3607	1532	3099	977
None	APOF	4	2	0	0	1	0
ENSG00000169621	APOH	3	2	5	1	0	0
ENSG00000171388	APOL1	3	0	3	0	16	24
ENSG00000134817	APOL2	852	1443	1921	1574	2091	1030
ENSG00000105290	APOL3	27	7	0	8	10	5
ENSG00000084234	APOL4	15	1	1	1	18	0
ENSG00000101474	APOL5	7	0	0	0	0	0
ENSG00000118137	APOL6	82	30	14	35	73	18
ENSG00000235910	APOLD1	155	137	59	119	117	99
None	APOM	13	42	32	26	19	6
ENSG00000158874	APOO	534	1924	2546	2355	3098	548
ENSG00000110244	APOOL	603	896	1515	1072	1381	760
ENSG00000110243	APOOP5	25	119	113	147	186	14
ENSG00000084674	APOPT1	449	1048	1441	1230	1523	397
ENSG00000111701	APP	2562	5560	9141	5612	8617	3816
ENSG00000124701	APPBP2	738	1397	1373	1183	1700	1154
ENSG00000128383	APPL1	738	885	1131	754	1165	738
