Protein names,Gene names,Ctrl N02,Ctrl N04,Ctrl N06,Ctrl N08,Ctrl N10,PD N01,PD N03,PD N05,PD N07,PD N09
Actin-related protein 3,ACTR3,20.515600204467773,20.053749084472656,20.023048400878906,19.95836003621419,20.260069529215496,20.354359308878582,19.988414764404297,20.18015988667806,19.793315887451172,20.123336791992188
26S protease regulatory subunit 8,PSMC5,18.752500534057617,19.010186513264973,18.58032162984212,18.76582400004069,18.810832977294922,18.290690739949543,18.809476216634113,18.638687133789062,18.568213780721027,18.865114212036133
40S ribosomal protein S18,RPS18,17.993192672729492,18.903574625651043,19.371434529622395,19.602168401082356,18.989009221394856,19.212749481201172,18.100830078125,18.818439483642578,19.527854919433594,19.35808563232422
40S ribosomal protein S29,RPS29,19.87034034729004,19.27784601847331,19.312283198038738,19.45289357503255,20.11690839131673,19.311687469482422,19.51440175374349,20.09044075012207,19.332688013712566,19.661760330200195
Eukaryotic peptide chain release factor subunit 1,ETF1,18.294556935628254,18.534406661987305,19.326531728108723,18.888384501139324,18.910736083984375,18.3172607421875,18.368826548258465,18.550663630167644,18.57427406311035,18.496988932291668
"40S ribosomal protein S4, X isoform;40S ribosomal protein S4, Y isoform 1",RPS4X;RPS4Y1,18.193271001180012,19.08922576904297,19.582119623819988,19.791379928588867,19.583608627319336,18.4221674601237,19.26650873819987,19.281884511311848,19.307632446289062,18.92731475830078
40S ribosomal protein S6,RPS6,19.82743199666341,19.03671264648437,19.717904408772785,19.783161163330078,19.611783345540363,19.624372482299805,19.095258076985676,19.27655601501465,18.563101450602215,19.19786198933919
Ras-related protein Rab-1A,RAB1A,18.942731221516926,18.488091786702473,19.25718371073405,18.410967508951824,18.70567512512207,18.62982241312663,18.57545344034831,18.3748296101888,18.490727106730144,18.51898765563965
60S ribosomal protein L30,RPL30,23.2667719523112,22.224463144938152,22.794314702351887,22.6115239461263,23.080092748006184,22.12742296854655,22.601924260457356,22.796621322631836,22.05039914449056,22.605004628499348
60S ribosomal protein L11,RPL11,22.425113042195637,22.103219350179035,22.539254506429035,22.436613082885742,22.514370600382488,22.354231516520183,22.14640172322591,22.15157190958659,21.705228805541992,22.461950937906902
Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,PPP2R2A,20.553412755330402,20.107266743977863,20.22734260559082,20.021689732869465,20.309536616007488,20.456032435099285,19.93745295206706,20.439739227294922,20.305191040039062,19.981334050496418
"Dynein light chain 1, cytoplasmic",DYNLL1,18.29489008585612,19.216360727945965,19.649370829264324,19.451383590698242,19.140295028686523,19.270816802978516,18.903512318929035,19.46879005432129,19.113786697387695,19.068103790283203
Platelet-activating factor acetylhydrolase IB subunit beta,PAFAH1B2,19.98869450887044,20.353961944580078,20.135953903198246,19.96978823343913,19.572415669759113,19.33742332458496,19.87254460652669,19.801143646240234,19.548486073811848,20.135150909423828
SRSF protein kinase 2;SRSF protein kinase 2 N-terminal;SRSF protein kinase 2 C-terminal,SRPK2,20.089056650797527,18.323991775512695,20.243457158406574,20.046497980753582,20.036231358846027,19.76935577392578,19.794679641723633,19.531232833862305,20.259236017862957,19.581165313720703
Glutathione S-transferase omega-1,GSTO1,21.298311869303387,21.671231587727863,21.58304278055827,21.630400975545246,21.11590003967285,21.300268173217773,21.644489288330078,20.80105209350586,21.633244196573894,21.69182586669922
ADP-ribosylation factor 1;ADP-ribosylation factor 3,ARF1;ARF3,22.52791468302409,23.66088358561198,23.54857571919759,23.729496637980144,23.531782786051433,23.529462178548176,23.64641761779785,23.44975217183431,23.527992884318035,23.820257822672527
Phosphatidylinositol transfer protein alpha isoform,PITPNA,19.395435333251953,18.601680119832356,18.882389068603516,19.228635787963867,18.932398478190105,18.324817021687824,19.019668579101562,19.1509526570638,19.520000457763672,19.539878845214844
Peptidyl-prolyl cis-trans isomerase FKBP3,FKBP3,20.077521642049152,18.874252319335938,21.63878059387207,20.032490412394207,21.46613947550456,20.32751973470052,20.669445037841797,20.912532806396484,18.339435577392578,20.01502863566081
Heterogeneous nuclear ribonucleoprotein U,HNRNPU,19.76343536376953,20.134572347005207,19.188491821289062,20.05881690979004,19.39012400309245,19.616260528564453,18.211793263753254,19.12729263305664,19.01136016845703,19.391621271769207
"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",BDH1,20.28040377298991,19.625389099121094,19.83484713236491,19.763920466105144,19.83194414774577,19.386619567871094,19.901477813720707,20.006104787190754,19.85666783650716,19.78380839029948
Nucleobindin-1,NUCB1,21.812774658203125,20.820248285929363,21.013770421346027,20.85097058614095,21.387373606363933,20.372219721476238,21.03934097290039,21.28466860453288,20.293474197387695,20.857894897460938
"1,4-alpha-glucan-branching enzyme",GBE1,20.283587137858074,18.897694905598957,19.40563138326009,19.201191584269207,19.33699671427409,18.616109212239582,18.26962407430013,18.907923380533855,18.306224187215168,18.042011260986328
"Single-stranded DNA-binding protein, mitochondrial",SSBP1,21.415831247965496,20.749861399332683,20.793357213338215,21.130621592203777,21.042837778727215,21.268569310506184,20.95808283487956,21.17578379313151,21.270148595174152,20.986713409423828
Elongation factor 1-alpha 2,EEF1A2,23.992539087931316,24.592730204264324,25.14630889892578,24.843334197998047,25.470231374104817,24.76739247639974,24.639835993448894,25.07576624552409,23.90060869852702,23.71466827392578
Synaptic vesicular amine transporter,SLC18A2,19.20669428507487,19.649959564208984,19.561909357706707,19.585641860961914,19.798972447713215,18.906970342000324,19.04585075378418,19.78536097208659,19.706741333007812,19.797619501749676
60S ribosomal protein L18,RPL18,21.188526789347332,20.55273946126302,20.638221740722656,20.79966672261556,20.757811228434246,20.826752344767254,20.125251134236652,20.49975522359212,20.308116912841797,19.883838017781574
"Complement component 1 Q subcomponent-binding protein, mitochondrial",C1QBP,20.27204704284668,20.595734278361004,20.19128354390462,20.461546579996746,20.373690923055012,20.829067866007488,20.722513834635418,20.50977834065755,20.542225519816082,20.490400950113933
Rho GTPase-activating protein 1,ARHGAP1,18.182284037272137,18.20135434468587,18.17241096496582,17.97373390197754,17.924994786580402,18.48455874125163,18.71832784016927,17.96593729654948,18.34989293416341,18.347531000773113
